"","500","500","500","500","500","500","500","500","500","500","500","500","500","501","500","500","505X","500","500","500","506","500","500X","501","505X","500","500X","505X","500","500","503","500X","505X","500","500","500","500X","503","500","500","505X","500X","506","500","500","500","500","505X","500","500","500","500","500","500","500","500","500N","500","500N","500","500","500"
"Airside Central","07:23","07:59","11:08","11:38","12:08","12:38","13:08","13:38","14:08","14:38","15:08","15:38","16:03","08:14","16:08","16:28","","16:44","16:49","16:54","","17:04","","08:34","","17:24","","","17:44","17:49","18:07","","","17:59","18:09","08:59","","18:26","18:24","18:29","","","","18:59","19:04","19:14","09:14","","19:38","20:08","20:38","21:08","22:08","22:38","23:08","23:23","23:53","09:29","00:08","09:44","10:08","10:38"
"Boroimhe Maples","07:24","08:00","11:09","11:39","12:09","12:39","13:09","13:39","14:09","14:39","15:09","15:39","16:04","","16:09","16:29","16:34","16:45","16:50","16:55","","17:05","","","17:14","17:25","","17:34","17:45","17:50","18:08","","17:49","18:00","18:10","09:00","","18:27","18:25","18:30","18:34","","","19:00","19:05","19:15","09:15","19:24","19:39","20:09","20:39","21:09","22:09","22:39","23:09","23:24","23:54","09:30","00:09","09:45","10:09","10:39"
"Boroimhe Laurels","07:25","08:01","11:10","11:40","12:10","12:40","13:10","13:40","14:10","14:40","15:10","15:40","16:05","","16:10","16:30","16:35","16:46","16:51","16:56","","17:06","","","17:15","17:26","","17:35","17:46","17:51","18:09","","17:50","18:01","18:11","09:01","","18:28","18:26","18:31","18:35","","","19:01","19:06","19:16","09:16","19:25","19:40","20:10","20:40","21:10","22:10","22:40","23:10","23:25","23:55","09:31","00:10","09:46","10:10","10:40"
"Rathingle Road","","","","","","","","","","","","","","","","","16:36","","","","","","","","17:16","","","17:36","","","","","17:51","","","","","","","","18:36","","","","","","","19:26","","","","","","","","","","","","","",""
"Cherry Avenue","","","","","","","","","","","","","","","","","16:37","","","","","","","","17:17","","","17:37","","","","","17:52","","","","","","","","18:37","","","","","","","19:27","","","","","","","","","","","","","",""
"Rathingle (Forest View)","","","","","","","","","","","","","","","","","16:37","","","","","","","","17:17","","","17:37","","","","","17:52","","","","","","","","18:37","","","","","","","19:27","","","","","","","","","","","","","",""
"Cherry Gareth Estate","","","","","","","","","","","","","","","","","16:38","","","","","","","","17:18","","","17:38","","","","","17:53","","","","","","","","18:38","","","","","","","19:28","","","","","","","","","","","","","",""
"River Valley Heights","","","","","","","","","","","","","","","","","16:38","","","","","","","","17:18","","","17:38","","","","","17:53","","","","","","","","18:38","","","","","","","19:28","","","","","","","","","","","","","",""
"River Valley Lawn","","","","","","","","","","","","","","","","","16:39","","","","","","","","17:19","","","17:39","","","","","17:54","","","","","","","","18:39","","","","","","","19:29","","","","","","","","","","","","","",""
"Ballintrane","07:26","08:02","11:11","11:41","12:11","12:41","13:11","13:41","14:11","14:41","15:11","15:41","16:06","","16:11","16:31","16:39","16:47","16:52","16:57","","17:07","","","17:19","17:27","","17:39","17:47","17:52","18:10","","17:54","18:02","18:12","09:02","","18:29","18:27","18:32","18:39","","","19:02","19:07","19:17","09:17","19:29","19:41","20:11","20:41","21:11","22:11","22:41","23:11","23:26","23:56","09:32","00:11","09:47","10:11","10:41"
